example_id,tweet_id,customer_message,historical_brand_reply,gold_intent,gold_intent_verified,should_escalate,escalation_reason,expected_action_or_facts,difficulty,annotator_notes,sampling_stratum,resolution_type
ex_0001,649879,"<USER> <USER> <USER> We need this podcast available on <USER> as soon as possible. Let's make it happen sooner than later, like maybe even now.",<USER> We’re working hard with rights holders to get more of the best content on the service. Stay tuned! /CO,App / Device / Technical,False,,,,,,App / Device / Technical,other
ex_0002,2028538,"You already have this functionality on podcasts. Why not do it for albums, <USER>?! Seriously, not that hard to ad a sort. #UX #Design <URL>",<USER> Hi there. Thanks for the feedback. We'll be sure to let the right team know. You can also voice out your idea at <URL> /XF,Content Availability,False,,,,,,Content Availability,informational
ex_0003,1080681,<USER> I really miss the feature where I could hold down a song and it would play a preview or the song. #bringitback,<USER> Hey! We have more info about this here: <URL> Give us a shout if you have any questions /KL,Playback / Audio,False,,,,,,Playback / Audio,clarification_request
ex_0004,2585699,<USER> I think it is really stupid that we can not login with our profile name. And it’s very bad customer service to random generate a user name that we the consumer can not create ourselves to log in with!#extremelyunhappycustomer,<USER> Hey there! Can you DM us your account's username or email address? We'll take a look backstage /MT <URL>,Account / Login / Security,False,,,,,,Account / Login / Security,private_escalation
ex_0005,1546454,<USER> Shared it to SMS. It's over 140 characters.,"<USER> Got it. Does deleting the ""Here's a song for you"" text cut the link below 140 characters? /TB",Feature / Product Question,False,,,,,,Feature / Product Question,other
ex_0006,1132384,<USER> snälla byt dag för när ni tar pengar från kontot??? Ni har valt dagen då studenter har 3kr på sitt konto,"<USER> Hey! We can help out in English via Twitter, but we also have Swedish support via email at <URL> /JO",Other / Ambiguous,False,,,,,,Other / Ambiguous,other
ex_0007,1344858,<USER> thank you :) I didn't know the correct spotify to direct this too. have a good day!!,"<USER> You're welcome! If you ever need anything else, just shout and we'll come running 🏃 /KL",Other / Ambiguous,False,,,,,,Other / Ambiguous,other
ex_0008,2165579,"<USER> Have you check if the link is work before ask me to check mine. I tried on PCs and mobiles, both provided the same result.",<USER> We hear you. Can you try this link instead: <URL> Let us know things go /HR,Other / Ambiguous,False,,,,,,Other / Ambiguous,other
ex_0009,2633293,<USER> when are y'all gonna upload red velvet's new album?,"<USER> Hey there, we're here to help! Could you DM us with your account's username and email address? Also, could you let us know what country your Spotify account is set to? We'll take a look backstage /TB <URL>",Content Availability,False,,,,,,Content Availability,private_escalation
ex_0010,866314,"<USER> Hello, I changed my email on facebook but it's still showing up as my old one on Spotify. How do I fix this?",<USER> Hey there! Could you send us a DM with your account's email address? We'll take a look backstage 🔍 /DB <URL>,Feature / Product Question,False,,,,,,Feature / Product Question,private_escalation
ex_0011,2442063,"<USER> oops maybe this was more of a <USER> issue. Anyway, please look into adding this feature 😊",<USER> Hey John! We can see how that’d be useful! You can vote for the official idea here: <URL> /JX,Ads,False,,,,,,Ads,informational
ex_0012,1624631,Okay FUCK the <USER> premium ads that have traffic or random sound effects in the beginning. I HAVE HEADPHONES IN THIS ISNT FUN,"<USER> Sorry, we didn't mean to scare you! We'll pass your feedback on to our Ads team /KL",Ads,False,,,,,,Ads,other
ex_0013,1884105,Wait if a playlist is collaborative it can't be public? Why is that? <USER>,<USER> Hey there! Collaborative playlists are meant to be private to prevent other users from accessing it. Hope this clears things up /NS,Playlist / Library,False,,,,,,Playlist / Library,other
