interaction_id,conversation_id,customer_context,customer_message,brand_response,brand_response_raw,resolution_type,retrieval_worthy,customer_tweet_id,brand_tweet_id,timestamp,weak_intent
int_000000,conv_1850835_1850836,<USER> Negative. #FeatureEnhancement,<USER> Negative. #FeatureEnhancement,<USER> Has it always been this way? Can you let us know if it started after an app or OS X update? /YM,@554042 Has it always been this way? Can you let us know if it started after an app or OS X update? /YM,clarification_request,True,1850835,1850836,Wed Oct 18 23:10:04 +0000 2017,Feature / Product Question
int_000001,conv_2041192_2041191,It was already enabled <URL>,It was already enabled <URL>,"<USER> Did the issue happen even after this option was enabled? If so, what device, operating system, and Spotify version are you using? /KC","@532306 Did the issue happen even after this option was enabled? If so, what device, operating system, and Spotify version are you using? /KC",clarification_request,True,2041192,2041191,Wed Nov 08 01:09:38 +0000 2017,Ads
int_000002,conv_1826282_1826281,"Hey <USER>, can you access previous weekly discover lists. I didn’t save it last week but it was perfection?? #spotify <USER>","Hey <USER>, can you access previous weekly discover lists. I didn’t save it last week but it was perfection?? #spotify <USER>",<USER> 2: don't miss out in the future. Just give us a shout if there's anything else you'd like us to check out 🙂 /YM,@548178 2:  don't miss out in the future. Just give us a shout if there's anything else you'd like us to check out 🙂 /YM,informational,True,1826282,1826281,Mon Oct 16 22:24:57 +0000 2017,Account / Login / Security
int_000003,conv_466833_466831,"<USER> When I go to play a song it says the song isn't available, and it says it on every song.","<USER> When I go to play a song it says the song isn't available, and it says it on every song.","<USER> Hey Justin, that's not cool! Can you let us know what device, operating system, and Spotify version you're running? We'll see what we can suggest /RA","@226111 Hey Justin, that's not cool! Can you let us know what device, operating system, and Spotify version you're running? We'll see what we can suggest /RA",clarification_request,True,466833,466831,Fri Dec 01 03:28:02 +0000 2017,Playback / Audio
int_000004,conv_185510_185509,I️ wish <USER> had an option to never have certain artist play...,I️ wish <USER> had an option to never have certain artist play...,"<USER> Hey Justin! This isn't possible right now, but you can vote for the idea and help make it happen here: <URL> /KL","@159628 Hey Justin! This isn't possible right now, but you can vote for the idea and help make it happen here: https://t.co/hlXvRg5Zog /KL",informational,True,185510,185509,Mon Nov 06 19:56:38 +0000 2017,Playback / Audio
int_000005,conv_809621_809622,"<USER> Also, I have emailed you guys twice and there has not been a response yet","<USER> Also, I have emailed you guys twice and there has not been a response yet","<USER> 1: Hi! As a Starbucks Partner, you can find out how to start or manage your subscription by heading to the Starbucks Partner Hub or...","@312917 1: Hi! As a Starbucks Partner, you can find out how to start or manage your subscription by heading to the Starbucks Partner Hub or...",informational,True,809621,809622,Thu Oct 12 15:42:57 +0000 2017,Other / Ambiguous
int_000006,conv_2902798_2902797,<USER> I have the Student discount. I wanted to update my payment method but it shows the full price of 9.99. What should I do?,<USER> I have the Student discount. I wanted to update my payment method but it shows the full price of 9.99. What should I do?,<USER> Hi Anne! We've just sent you a bit more info over DM. We'll carry on helping out there /TR,@803979 Hi Anne! We've just sent you a bit more info over DM. We'll carry on helping out there /TR,clarification_request,True,2902798,2902797,Tue Nov 28 17:12:02 +0000 2017,Billing / Payment
int_000007,conv_643419_643418,<USER> wtf you doing to me? 😰 <URL>,<USER> wtf you doing to me? 😰 <URL>,<USER> 2: We have more info about that here: <URL> /LO,@272765 2: We have more info about that here: https://t.co/0i8GpimuDa /LO,clarification_request,True,643419,643418,Thu Oct 05 01:35:48 +0000 2017,Other / Ambiguous
int_000008,conv_189824_189818,<USER> wait so if I already have Spotify Premium at a student discount does that mean I still have to pay again for Hulu? I’m confused please help?,<USER> wait so if I already have Spotify Premium at a student discount does that mean I still have to pay again for Hulu? I’m confused please help?,"<USER> Hey! When you sign up for the bundle, you can access Hulu’s streaming library at no additional cost. Any questions, give us a shout /AN","@160530 Hey! When you sign up for the bundle, you can access Hulu’s streaming library at no additional cost. Any questions, give us a shout /AN",informational,True,189824,189818,Thu Sep 28 02:45:24 +0000 2017,Premium / Subscription
int_000009,conv_908526_1105802,<USER> <USER> The email of my account was changed without my permission and now someone stole my account and I can’t change it,<USER> <USER> The email of my account was changed without my permission and now someone stole my account and I can’t change it,"<USER> Hey, we’re sorry to hear that. Check out <URL> for what to do next /NQ","@380958 Hey, we’re sorry to hear that. Check out https://t.co/QHn3ok8y2n for what to do next /NQ",informational,True,908526,1105802,Mon Oct 23 23:48:35 +0000 2017,Account / Login / Security
int_000010,conv_2412679_2412681,<USER> It Worked! Thank You So Much!,<USER> It Worked! Thank You So Much!,"<USER> Woohoo! That's great to hear. For anything else, you can reach the team directly here: <URL> /I","@693589 Woohoo! That's great to hear. For anything else, you can reach the team directly here: https://t.co/p1wbtdELHu /I",informational,True,2412679,2412681,Tue Nov 14 17:31:14 +0000 2017,Other / Ambiguous
